http://cloc.sourceforge.net v 1.53  T=3.0 s (60.0 files/s, 14649.3 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                              blank        comment           code
RDFDatabank/rdfdatabank/config/namespaces.py                                          4              0             19
RDFDatabank/rdfdatabank/tests/pylons_init.py                                          9              8             19
RDFDatabank/rdfdatabank/templates/zipfileview.html                                    0              0             19
RDFDatabank/debian/config                                                            11             14             18
RDFDatabank/rdfdatabank/tests/testdata/unicodedata/unicode03.xml                      0              0             18
RDFDatabank/rdfdatabank/templates/silo_admin.html                                     0              0             17
RDFDatabank/debian/postrm                                                             4              1             17
RDFDatabank/rdfdatabank/templates/raw_search.html                                     0              0             16
RDFDatabank/rdfdatabank/templates/error.html                                          0              0             15
RDFDatabank/rdfdatabank/lib/auth.py                                                  13             54             14
RDFDatabank/rdfdatabank/templates/api.html                                            1              0             14
RDFDatabank/rdfdatabank/controllers/api.py                                            7             20             13
RDFDatabank/rdfdatabank/templates/logout.html                                         1              0             13
RecordSilo/setup.py                                                                   1              3             12
RDFDatabank/rdfdatabank/templates/rdf_manifest_form.html                              0              0             12
RDFDatabank/rdfdatabank/templates/about.html                                          3              0             12
RDFDatabank/sss/sss_logging.py                                                       12             18             12
RDFDatabank/rdfdatabank/config/users-default.py                                       4             20             11
RDFDatabank/rdfdatabank/templates/footer.html                                         0              0             11
RDFDatabank/rdfdatabank/templates/item_file_upload.html                               0              0             10
RDFDatabank/rdfdatabank/templates/register_new_user.html                              0              0             10
RDFDatabank/rdfdatabank/templates/header.html                                         1              0             10
RDFDatabank/message_workers/LogConfigParser.py                                        6             21             10
RDFDatabank/rdfdatabank/templates/file_upload.html                                    0              0             10
RDFDatabank/rdfdatabank/templates/zipfilesubitemview.html                             0              0              9
RDFDatabank/rdfdatabank/lib/base.py                                                   7             27              9
RDFDatabank/rdfdatabank/tests/testdata/ziptestdir.sh                                  2              3              9
RDFDatabank/rdfdatabank/public/static/styles/chimpanzee.css                          29             14              9
RDFDatabank/rdfdatabank/model/__init__.py                                             4              9              8
RDFDatabank/rdfdatabank/model/meta.py                                                 6              5              8
RDFDatabank/sss/__init__.py                                                           2              0              7
RDFDatabank/rdfdatabank/public/static/styles/silverback.css                          25             14              7
RDFDatabank/rdfdatabank/templates/create_new_item.html                                0              0              7
RDFDatabank/rdfdatabank/lib/ident_md.py                                               6             20              7
RecordSilo/debian/rules                                                               6             15              7
RDFDatabank/debian/preinst                                                            2              2              6
RDFDatabank/rdfdatabank/templates/keywords.html                                       1              0              6
RDFDatabank/rdfdatabank/templates/searching.html                                      1              0              6
RDFDatabank/rdfdatabank/public/static/styles/ie.css                                  21             14              6
RDFDatabank/rdfdatabank/templates/readme_section.html                                 0              0              6
RDFDatabank/rdfdatabank/controllers/about.py                                          6             20              5
RDFDatabank/rdfdatabank/controllers/keywords.py                                       6             20              5
RDFDatabank/debian/prerm                                                              4              1              5
RDFDatabank/rdfdatabank/controllers/searching.py                                      6             20              5
RDFDatabank/rdfdatabank/controllers/home.py                                           6             20              5
RDFDatabank/rdfdatabank/public/static/styles/print.css                               21             14              4
RecordSilo/recordsilo/__init__.py                                                     0              0              4
RDFDatabank/rdfdatabank/templates/create_doi.html                                     0              0              4
RDFDatabank/rdfdatabank/config/users.py                                               4             20              3
RDFDatabank/debian/rules                                                              2              8              3
RDFDatabank/sss/info.py                                                               0              0              3
RDFDatabank/rdfdatabank/public/static/jquery.js                                       0             17              2
RDFDatabank/rdfdatabank/controllers/sword.py                                          0              0              2
RDFDatabank/rdfdatabank/templates/atom_results.html                                   0              0              2
RDFDatabank/rdfdatabank/tests/testdata/testdir2/directory1/file1.c                    0              0              1
RDFDatabank/rdfdatabank/public/static/js/html5.js                                     0              4              0
---------------------------------------------------------------------------------------------------------------------
SUM:                                                                               4736           7654          31558
---------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Python                           90           3760           7071          25159
HTML                             58            233            303           3982
CSS                               9            694            188           1777
XML                              12              1              0            394
Bourne Shell                      4             34             45            210
Bourne Again Shell                2              6              3             23
make                              2              8             23             10
Javascript                        2              0             21              2
C                                 1              0              0              1
--------------------------------------------------------------------------------
SUM:                            180           4736           7654          31558
--------------------------------------------------------------------------------
